"partid"	"listed"	"treatment"
"2129"	"42"	0	0
"2136"	"43"	1	1
"2137"	"44"	1	1
"2138"	"45"	1	0
"2139"	"46"	0	0
"2140"	"47"	1	1
"2141"	"48"	1	1
"2143"	"49"	0	0
"2145"	"50"	0	1
"2147"	"51"	0	1
"2148"	"52"	1	0
"2149"	"53"	1	0
"2150"	"54"	0	1
"2151"	"55"	1	0
"2152"	"56"	1	0
"2153"	"57"	1	0
"2157"	"58"	1	0
"2158"	"59"	0	1
"2159"	"60"	0	0
"2160"	"61"	0	0
"2164"	"62"	0	0
"2167"	"63"	0	1
"2170"	"64"	0	1
"2171"	"65"	1	1
"2173"	"66"	0	0
"2174"	"67"	0	1
"2177"	"68"	1	1
"2179"	"69"	1	0
"2181"	"70"	1	1
"2182"	"71"	1	1
"2187"	"72"	1	0
"2188"	"73"	0	1
"2190"	"74"	1	1
"2192"	"75"	1	1
"2194"	"76"	1	1
"2195"	"77"	1	0
"2196"	"78"	1	0
"2198"	"79"	0	0
"2200"	"80"	0	1
"2201"	"81"	0	1
"2202"	"82"	0	0
"2203"	"83"	0	0
"2205"	"84"	0	0
"2206"	"85"	0	0
"2208"	"86"	0	1
"2209"	"87"	1	1
"2216"	"88"	1	1
"2217"	"89"	1	0
"2218"	"90"	1	1
"2219"	"91"	1	0
"2220"	"92"	0	0
"2223"	"93"	0	0
"2224"	"94"	0	1
"2226"	"95"	0	0
"2227"	"96"	0	0
"2229"	"97"	1	0
"2232"	"98"	0	1
"2233"	"99"	0	1
"2234"	"100"	0	1
"2235"	"101"	0	0
"2237"	"102"	1	0
"2242"	"103"	0	1
"2243"	"104"	0	0
"2248"	"105"	0	0
"2249"	"106"	1	1
"2251"	"107"	0	1
"2252"	"108"	1	0
"2253"	"109"	1	0
"2255"	"110"	1	1
"2257"	"111"	1	0
"2263"	"112"	0	0
"2264"	"113"	1	1
"2267"	"114"	0	0
"2270"	"115"	1	0
"2271"	"116"	1	0
"2272"	"117"	1	1
"2273"	"118"	1	0
"2274"	"119"	1	1
"2275"	"120"	0	0
"2280"	"121"	0	0
"2281"	"122"	0	0
"2285"	"123"	0	0
"2286"	"124"	1	0
"2288"	"125"	0	1
"2290"	"126"	0	0
"2293"	"127"	0	0
"2294"	"128"	0	0
"2297"	"129"	1	1
"2298"	"130"	0	1
"2299"	"131"	0	1
"2300"	"132"	0	0
"2302"	"133"	0	0
"2303"	"134"	0	0
"2306"	"1"	0	0
"2308"	"2"	1	1
"2309"	"3"	0	0
"2310"	"4"	0	0
"2312"	"5"	0	0
"2316"	"6"	0	1
"2317"	"7"	0	1
"2318"	"8"	0	0
"2319"	"9"	0	1
"2321"	"10"	0	1
"2322"	"11"	0	0
"2323"	"12"	0	1
"2324"	"13"	0	0
"2325"	"14"	0	1
"2327"	"15"	0	0
"2328"	"16"	0	0
"2329"	"17"	0	0
"2331"	"18"	0	1
"2332"	"19"	0	0
"2336"	"20"	0	1
"2337"	"21"	0	1
"2338"	"22"	0	1
"2339"	"23"	0	1
"2344"	"24"	0	1
"2345"	"25"	0	1
"2346"	"26"	0	0
"2347"	"27"	0	0
"2349"	"28"	0	1
"2353"	"29"	0	0
"2354"	"30"	0	0
"2355"	"31"	0	1
"2361"	"32"	0	1
"2365"	"33"	0	0
"2366"	"34"	0	1
"2368"	"35"	0	0
"2376"	"36"	0	0
"2377"	"37"	0	1
"2378"	"38"	0	1
"2379"	"39"	0	0
"2382"	"40"	0	0
"2383"	"41"	0	0
"2385"	"42"	0	0
"2392"	"43"	0	1
"2393"	"44"	0	1
"2394"	"45"	1	0
"2395"	"46"	0	0
"2396"	"47"	1	1
"2397"	"48"	0	1
"2399"	"49"	0	0
"2401"	"50"	0	1
"2403"	"51"	0	1
"2404"	"52"	0	0
"2405"	"53"	0	0
"2406"	"54"	0	1
"2407"	"55"	0	0
"2408"	"56"	0	0
"2409"	"57"	0	0
"2413"	"58"	0	0
"2414"	"59"	0	1
"2415"	"60"	0	0
"2416"	"61"	0	0
"2420"	"62"	0	0
"2423"	"63"	0	1
"2426"	"64"	0	1
"2427"	"65"	0	1
"2429"	"66"	0	0
"2430"	"67"	0	1
"2433"	"68"	0	1
"2435"	"69"	0	0
"2437"	"70"	0	1
"2438"	"71"	0	1
"2443"	"72"	0	0
"2444"	"73"	0	1
"2446"	"74"	0	1
"2448"	"75"	0	1
"2450"	"76"	0	1
"2451"	"77"	0	0
"2452"	"78"	0	0
"2454"	"79"	0	0
"2456"	"80"	0	1
"2457"	"81"	0	1
"2458"	"82"	0	0
"2459"	"83"	0	0
"2461"	"84"	0	0
"2462"	"85"	0	0
"2464"	"86"	0	1
"2465"	"87"	0	1
"2472"	"88"	0	1
"2473"	"89"	0	0
"2474"	"90"	0	1
"2475"	"91"	0	0
"2476"	"92"	0	0
"2479"	"93"	0	0
"2480"	"94"	0	1
"2482"	"95"	0	0
"2483"	"96"	0	0
"2485"	"97"	0	0
"2488"	"98"	0	1
"2489"	"99"	0	1
"2490"	"100"	0	1
"2491"	"101"	0	0
"2493"	"102"	0	0
"2498"	"103"	0	1
"2499"	"104"	0	0
"2504"	"105"	0	0
"2505"	"106"	0	1
"2507"	"107"	0	1
"2508"	"108"	0	0
"2509"	"109"	0	0
"2511"	"110"	0	1
"2513"	"111"	0	0
"2519"	"112"	0	0
"2520"	"113"	0	1
"2523"	"114"	0	0
"2526"	"115"	0	0
"2527"	"116"	0	0
"2528"	"117"	0	1
"2529"	"118"	0	0
"2530"	"119"	0	1
"2531"	"120"	0	0
"2536"	"121"	0	0
"2537"	"122"	0	0
"2541"	"123"	0	0
"2542"	"124"	0	0
"2544"	"125"	0	1
"2546"	"126"	0	0
"2549"	"127"	0	0
"2550"	"128"	0	0
"2553"	"129"	0	1
"2554"	"130"	0	1
"2555"	"131"	0	1
"2556"	"132"	0	0
"2558"	"133"	0	0
"2559"	"134"	0	0
